crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,medv
3.0388,85.0,4.68,0,0.416,7.251,85.4,5.9763,6,497.0,20.0,340.72,12.1,17.5
0.368,0.0,12.84,0,0.85,6.326,42.3,2.5865,5,207.0,19.7,184.18,27.92,5.0
3.4363,95.0,14.93,0,0.397,5.689,4.2,5.3348,1,697.0,16.9,311.35,35.99,5.0
16.5981,0.0,0.99,0,0.723,5.707,10.7,7.9428,12,647.0,20.5,375.83,34.96,5.0
0.5433,85.0,22.17,0,0.425,6.899,33.2,6.1284,11,527.0,13.7,109.45,22.87,20.8
2.6298,20.0,8.5,0,0.828,6.128,4.4,9.7121,4,697.0,15.0,158.14,18.49,5.0
7.555,80.0,25.3,0,0.611,6.275,4.6,12.1039,18,317.0,20.4,369.73,31.39,5.0
4.8601,50.0,26.82,0,0.452,6.711,91.9,3.2325,4,657.0,16.2,134.46,26.49,12.3
4.2987,50.0,5.54,0,0.551,4.249,71.5,6.1862,17,487.0,21.8,362.75,8.38,5.0
4.3642,45.0,13.07,0,0.465,7.68,32.9,5.8708,2,487.0,17.0,389.38,31.48,13.2
1.6038,40.0,0.53,0,0.468,5.768,15.8,4.4794,24,347.0,20.0,262.78,17.27,5.0
1.2512,40.0,16.77,0,0.846,6.449,52.6,3.3091,22,417.0,16.4,324.28,8.58,16.7
5.9665,25.0,17.02,0,0.601,5.087,3.4,1.8526,2,697.0,16.6,297.57,11.94,12.9
5.9808,45.0,7.23,0,0.768,5.984,94.0,10.8883,12,407.0,16.2,277.74,11.43,6.2
7.2646,50.0,15.69,0,0.696,7.151,43.2,5.7483,6,357.0,19.4,122.04,20.55,7.5
8.8006,60.0,6.63,0,0.714,4.939,42.0,6.5959,10,677.0,17.7,22.96,10.22,5.0
2.5779,85.0,4.87,0,0.449,7.068,40.8,11.2164,23,317.0,21.5,136.37,6.21,13.9
2.5063,85.0,18.22,0,0.499,6.088,9.6,9.6692,21,677.0,15.0,264.81,6.21,10.9
5.7634,0.0,9.37,0,0.767,6.621,64.9,2.5655,23,327.0,13.5,40.98,22.87,11.2
3.779,45.0,16.56,0,0.857,6.74,74.1,7.3496,16,327.0,16.3,5.05,28.36,5.0
4.358,30.0,12.28,0,0.513,6.589,68.6,5.9948,14,237.0,18.4,55.72,13.38,13.5
5.719,40.0,27.27,0,0.517,5.675,16.3,9.8993,7,447.0,20.7,284.17,2.99,11.2
7.9464,0.0,4.57,0,0.615,6.025,59.1,9.0966,19,327.0,15.9,386.11,6.34,11.4
1.4849,35.0,13.14,0,0.863,5.257,58.2,8.7245,23,677.0,18.7,390.18,34.88,5.0
1.6954,0.0,19.01,1,0.516,6.624,87.2,4.876,17,537.0,15.9,196.22,19.62,13.8
0.3553,30.0,11.26,0,0.583,7.471,39.7,9.9846,9,257.0,18.4,345.09,18.17,9.7
3.1083,20.0,27.01,0,0.818,5.003,39.0,1.7063,13,327.0,20.9,292.53,3.11,18.4
0.1318,60.0,20.14,0,0.386,5.747,63.0,2.8859,22,207.0,14.8,199.02,28.14,18.0
2.2558,35.0,18.37,1,0.404,6.153,64.4,4.8219,5,647.0,16.4,227.47,20.87,10.9
2.8163,60.0,21.09,0,0.679,6.401,48.5,1.9749,23,307.0,21.9,54.74,9.05,11.1
1.2155,0.0,26.41,0,0.826,6.895,45.9,3.7149,5,587.0,20.8,372.18,5.72,10.3
3.2171,40.0,25.19,0,0.501,6.173,50.9,10.2617,10,517.0,17.9,139.89,15.62,5.0
0.1115,75.0,20.2,1,0.613,6.059,86.5,11.5608,21,417.0,17.5,177.25,32.07,5.0
0.137,85.0,20.88,0,0.604,7.052,47.7,4.4806,10,577.0,15.3,266.69,33.09,11.5
6.2257,30.0,4.47,0,0.615,6.743,94.2,4.0397,7,497.0,17.5,132.74,23.58,5.3
1.6077,75.0,3.3,0,0.688,6.657,51.8,4.2088,15,497.0,20.6,101.15,28.1,5.0
0.4892,85.0,16.03,0,0.613,6.359,95.1,4.1849,7,477.0,19.0,250.58,5.9,19.2
2.6592,50.0,1.0,0,0.602,6.968,83.8,1.5252,15,697.0,15.3,10.23,23.04,9.1
5.2907,35.0,13.62,0,0.616,5.821,38.1,11.3261,3,667.0,14.5,286.15,25.9,5.0
0.8752,85.0,6.22,0,0.672,5.725,86.8,3.4807,19,307.0,15.1,204.17,9.0,22.1
3.5108,30.0,9.91,0,0.646,6.802,13.6,5.75,10,187.0,14.2,240.55,33.63,5.0
0.3212,70.0,21.6,0,0.8,5.142,92.7,1.2366,15,517.0,13.5,250.91,8.8,20.4
0.191,75.0,26.1,0,0.409,6.345,64.2,10.5675,3,327.0,16.5,209.34,13.09,16.3
2.7285,20.0,2.47,0,0.79,6.058,8.2,9.1727,6,617.0,13.7,231.34,24.22,5.0
2.8005,30.0,15.03,1,0.795,5.296,65.5,11.5443,12,317.0,14.2,271.5,24.86,5.0
3.6523,30.0,24.5,0,0.523,5.628,97.5,9.7278,15,467.0,17.7,298.99,27.08,5.0
4.6619,65.0,2.74,0,0.61,6.204,9.7,4.5808,6,517.0,14.1,288.81,5.79,21.4
13.4048,35.0,22.93,0,0.598,7.004,56.8,3.8566,13,357.0,13.2,345.19,32.51,9.7
2.6146,65.0,10.23,0,0.491,5.823,75.5,8.8049,19,247.0,15.6,75.45,21.04,5.9
1.4041,60.0,9.26,0,0.578,7.129,81.6,5.1352,3,467.0,14.7,159.41,18.81,12.9
5.7084,50.0,27.09,0,0.407,6.324,43.1,7.3584,8,487.0,17.4,376.2,37.28,5.0
1.1371,40.0,5.96,0,0.52,7.197,22.7,1.1988,8,427.0,13.6,157.6,28.56,19.7
2.0807,40.0,19.35,0,0.782,5.857,7.0,1.8107,23,557.0,19.7,49.84,6.01,11.3
0.2941,50.0,22.84,0,0.523,6.246,59.2,7.019,20,317.0,21.1,208.7,29.15,5.0
0.0924,85.0,1.62,0,0.783,6.538,46.9,7.3568,15,257.0,19.6,43.74,5.18,11.9
11.8346,80.0,18.73,0,0.643,6.154,95.0,9.396,4,447.0,17.6,80.77,2.73,7.3
6.508,65.0,26.38,1,0.813,6.947,8.8,2.5816,19,197.0,20.7,396.23,16.36,19.1
4.2863,70.0,3.88,1,0.664,4.735,69.5,6.775,21,347.0,19.1,215.01,37.74,5.0
1.8931,75.0,24.88,1,0.399,7.976,5.3,3.2689,3,547.0,12.7,112.97,8.07,37.8
0.6851,50.0,16.68,0,0.713,6.88,19.5,2.1552,13,317.0,16.3,394.83,26.11,16.7
0.6124,0.0,17.27,0,0.407,6.159,46.9,5.6455,8,427.0,20.6,383.64,8.01,15.5
1.0368,85.0,17.17,0,0.604,5.893,47.1,2.9267,23,477.0,15.9,175.11,28.0,6.7
2.8684,50.0,8.63,0,0.837,5.674,69.5,3.5696,16,467.0,12.9,103.59,20.04,10.8
4.5139,65.0,25.94,0,0.465,6.732,91.3,4.6231,13,377.0,19.6,332.81,26.37,10.9
3.8858,70.0,26.27,0,0.574,6.976,65.0,3.9833,3,387.0,20.1,284.12,9.08,20.4
1.1823,70.0,17.51,0,0.74,6.166,95.5,2.0935,16,707.0,14.1,272.75,28.75,7.7
11.1532,30.0,21.81,0,0.814,7.055,88.5,2.1191,9,397.0,17.7,354.51,37.81,5.0
4.8205,90.0,17.15,0,0.711,5.645,59.7,3.2557,14,527.0,14.4,273.73,25.85,8.5
2.9096,30.0,13.68,0,0.51,5.521,83.9,1.6862,13,547.0,19.4,112.87,19.61,9.7
3.4057,35.0,18.47,0,0.713,7.549,65.3,8.021,21,337.0,15.2,275.49,35.19,5.0
1.9585,35.0,15.54,0,0.529,6.694,10.5,4.2906,7,677.0,15.6,121.6,2.3,20.2
1.0248,50.0,16.75,1,0.734,7.258,74.8,4.2072,15,667.0,20.5,301.42,28.18,7.3
1.5841,60.0,21.82,0,0.849,5.682,12.1,4.782,7,607.0,17.1,246.1,33.94,5.0
5.1055,95.0,13.58,0,0.736,5.634,60.6,8.4208,6,347.0,18.9,31.02,3.97,11.9
0.0522,55.0,1.61,0,0.804,6.029,71.1,10.707,2,337.0,16.4,203.7,18.04,5.0
0.4442,80.0,4.96,0,0.386,5.703,9.4,9.48,9,197.0,15.4,136.47,9.15,16.2
0.1695,50.0,12.43,0,0.734,6.774,25.3,9.1328,22,217.0,18.5,130.62,22.26,5.0
0.1497,55.0,20.22,1,0.788,5.754,91.8,6.4583,24,387.0,14.1,239.16,25.27,7.0
6.9631,65.0,16.64,0,0.405,5.46,62.7,8.7619,17,567.0,16.1,128.15,12.7,8.1
4.3785,0.0,18.19,0,0.809,6.379,26.8,7.2104,5,517.0,14.6,308.42,18.4,7.4
2.314,80.0,13.54,0,0.51,5.377,70.0,3.5088,12,477.0,19.1,28.39,11.85,12.0
0.3706,35.0,17.25,0,0.708,5.02,60.8,3.4245,1,237.0,21.5,262.22,15.12,10.6
2.4355,80.0,9.45,0,0.774,6.373,51.6,4.3903,10,347.0,22.0,321.23,7.51,13.0
2.3092,30.0,13.29,0,0.707,5.056,97.7,11.1488,11,567.0,16.8,267.15,33.82,5.0
0.6847,0.0,20.74,0,0.43,6.823,69.3,7.1516,16,427.0,15.0,197.51,2.09,26.4
2.048,50.0,24.21,0,0.675,5.303,39.4,9.203,14,227.0,16.8,377.19,33.71,5.0
1.83,85.0,12.3,0,0.652,4.712,80.6,4.9421,8,227.0,20.6,119.27,22.45,5.0
3.4442,85.0,1.69,0,0.823,6.074,88.8,5.6149,24,377.0,14.5,7.92,13.75,7.8
3.6292,55.0,4.9,0,0.581,6.381,15.1,2.5112,17,337.0,21.5,171.64,27.93,7.0
0.1669,55.0,1.07,0,0.541,6.624,22.4,3.0142,18,687.0,15.8,13.41,20.13,15.0
1.6898,60.0,18.27,0,0.749,6.4,23.9,10.2309,12,587.0,21.9,378.63,19.82,5.0
3.5392,55.0,9.54,0,0.586,5.538,70.0,7.5632,17,547.0,20.5,83.57,5.72,5.0
2.518,25.0,15.26,0,0.699,6.779,61.5,4.8429,14,577.0,20.2,313.19,15.85,6.1
6.9889,65.0,13.92,0,0.699,6.952,63.0,9.9614,16,267.0,15.6,307.5,10.47,12.6
3.8699,40.0,2.72,0,0.817,5.436,94.2,3.8417,14,227.0,12.7,86.67,2.3,18.7
0.6403,20.0,11.47,0,0.676,6.153,78.2,11.8664,9,597.0,16.2,246.69,14.78,5.0
0.2635,45.0,6.5,0,0.629,6.088,15.3,4.923,4,197.0,15.4,19.39,4.99,23.9
3.7022,20.0,11.88,0,0.452,6.434,36.6,4.8404,23,267.0,13.0,192.1,11.04,27.3
0.0967,95.0,6.04,0,0.441,6.137,45.2,4.561,11,607.0,17.4,6.13,5.08,16.8
3.1729,65.0,23.36,0,0.46,6.232,41.3,2.4732,6,537.0,16.4,365.63,5.39,28.3
10.1421,70.0,5.24,0,0.469,6.729,67.9,2.3525,15,397.0,18.6,387.42,8.94,24.9
3.0844,45.0,26.63,0,0.695,5.5,89.5,8.2592,5,397.0,18.4,88.47,37.96,5.0
1.7687,40.0,11.81,1,0.745,6.796,32.6,10.7563,11,397.0,13.7,82.85,1.81,19.1
3.711,0.0,23.52,0,0.643,7.079,56.5,9.8257,18,517.0,21.8,299.23,24.88,5.0
2.2066,95.0,17.6,0,0.788,7.424,79.6,2.6822,13,467.0,14.4,100.81,6.85,26.6
2.8397,65.0,20.5,0,0.867,4.78,43.3,7.1314,11,557.0,16.8,355.29,35.09,5.0
10.2173,95.0,21.38,0,0.784,6.152,19.2,2.2915,14,637.0,17.2,227.93,5.12,17.0
1.7565,45.0,14.23,0,0.723,4.904,49.0,1.6282,18,507.0,20.2,139.43,36.34,5.0
11.6967,95.0,15.28,0,0.644,4.575,8.3,8.3502,19,357.0,13.5,330.55,23.87,7.3
8.4873,55.0,14.48,0,0.603,6.381,94.4,7.0167,24,247.0,16.6,196.0,1.78,19.3
0.7844,95.0,16.5,1,0.426,6.001,10.2,2.0323,15,187.0,18.5,361.86,34.13,15.2
0.2588,50.0,1.3,0,0.579,6.49,45.5,1.5143,9,507.0,14.6,368.35,20.64,17.2
0.3824,95.0,11.26,0,0.827,6.62,54.4,12.0173,8,187.0,18.5,65.92,11.25,5.5
0.0662,45.0,16.99,0,0.778,7.154,98.6,1.4602,20,417.0,21.3,1.24,29.54,5.8
0.3571,0.0,16.76,0,0.49,6.318,19.0,6.0198,1,217.0,22.0,390.53,35.31,5.0
4.1359,75.0,22.07,0,0.612,8.326,14.0,6.6808,4,217.0,12.9,359.68,19.26,23.7
0.2659,95.0,18.32,0,0.782,6.494,3.7,2.4201,14,357.0,14.8,22.31,13.17,16.2
1.383,75.0,27.49,0,0.418,7.57,18.0,2.9897,2,447.0,15.5,330.68,30.32,23.8
6.7087,90.0,8.22,0,0.573,4.647,23.0,4.9999,16,607.0,16.4,181.88,26.44,5.0
0.0848,50.0,10.27,0,0.799,7.225,64.1,9.5084,3,497.0,14.9,103.02,33.94,5.0
6.0643,0.0,10.94,0,0.581,6.153,24.2,6.7079,8,507.0,14.5,348.81,26.83,6.0
1.1919,80.0,13.17,0,0.423,4.916,4.9,8.1469,6,457.0,21.6,78.31,10.56,5.0
0.4527,85.0,23.24,0,0.649,6.574,83.2,11.9669,16,597.0,21.2,376.0,35.49,5.0
4.2954,20.0,6.91,1,0.804,6.068,38.4,9.5781,24,587.0,13.0,81.87,5.53,10.6
3.569,95.0,21.61,0,0.672,6.686,37.2,5.908,16,537.0,15.8,243.69,11.44,19.1
7.5579,40.0,11.52,0,0.495,6.988,32.3,6.0409,7,237.0,16.4,88.79,20.58,15.4
4.7819,30.0,16.87,0,0.572,5.238,97.6,7.9365,13,337.0,14.8,216.72,22.23,5.0
5.8572,0.0,17.71,0,0.604,6.99,19.4,8.449,13,517.0,18.5,271.57,2.28,15.8
1.1928,50.0,10.64,0,0.667,6.285,90.1,6.6378,5,407.0,18.6,75.76,30.02,5.0
0.7032,45.0,14.44,0,0.754,7.227,78.3,8.2235,20,677.0,20.6,206.89,14.83,5.0
4.9995,25.0,11.73,0,0.433,6.136,10.3,1.3889,22,597.0,19.6,186.34,16.46,13.1
5.9192,60.0,2.38,0,0.817,5.951,98.7,5.8559,18,417.0,17.7,28.49,31.06,5.0
16.7652,60.0,12.39,0,0.391,6.299,29.2,4.1983,15,667.0,18.7,324.84,15.48,13.9
1.9155,80.0,3.15,0,0.565,6.351,12.5,2.5509,18,307.0,15.2,133.44,3.44,25.6
1.6749,20.0,11.52,0,0.398,5.816,83.4,2.225,2,357.0,18.2,228.19,8.12,23.1
5.3926,0.0,16.63,0,0.576,5.933,71.5,7.7651,10,307.0,17.2,204.47,36.37,5.0
1.5002,45.0,16.26,0,0.641,5.421,62.8,6.8896,23,667.0,13.9,203.87,4.28,11.4
9.6125,50.0,18.52,0,0.634,5.976,18.0,3.9194,13,547.0,14.9,42.84,14.59,13.1
7.0374,0.0,3.09,0,0.465,6.753,49.4,6.3105,18,607.0,15.3,168.26,19.97,6.7
2.0173,25.0,18.24,0,0.699,6.184,78.7,6.5446,15,567.0,21.3,179.72,19.61,5.0
5.0032,50.0,8.99,0,0.407,6.986,32.4,3.2751,12,597.0,14.8,291.27,1.87,30.1
5.0567,85.0,11.35,0,0.755,6.15,33.2,8.303,15,347.0,15.3,333.45,19.89,5.5
0.3918,35.0,23.84,0,0.845,5.278,3.2,9.7201,13,327.0,16.1,216.45,15.64,5.0
8.3824,25.0,0.75,0,0.55,6.698,19.8,9.8361,18,357.0,18.8,34.74,36.96,5.0
2.5333,0.0,16.5,0,0.636,5.808,87.9,7.7572,15,407.0,13.7,94.25,7.5,5.4
6.3048,85.0,16.79,0,0.569,6.117,45.8,6.758,23,687.0,21.6,65.73,14.56,5.0
1.3886,50.0,11.29,0,0.388,7.146,98.5,1.8011,11,477.0,20.7,49.74,16.93,18.1
8.1316,20.0,6.95,0,0.573,5.467,41.3,4.2961,19,517.0,18.0,145.43,15.89,7.3
1.7748,25.0,6.88,0,0.77,6.395,72.3,2.156,3,217.0,18.9,91.29,25.86,6.9
0.0392,80.0,24.54,0,0.675,6.252,30.3,11.7321,7,207.0,12.8,86.89,9.54,11.5
8.4885,80.0,12.52,0,0.434,6.771,38.2,2.6159,21,247.0,15.8,22.01,9.74,21.9
0.3446,65.0,9.5,0,0.797,6.879,21.4,2.7995,14,357.0,20.1,7.33,28.16,7.9
1.3848,90.0,12.71,0,0.643,6.465,36.6,10.9153,14,597.0,13.3,41.08,19.86,8.4
10.7891,30.0,18.71,0,0.794,6.028,56.0,11.5132,22,247.0,15.3,68.61,16.78,5.0
10.8286,35.0,4.46,0,0.667,6.611,99.2,9.5541,13,577.0,18.1,171.24,7.86,8.0
3.0672,80.0,12.72,0,0.657,7.215,67.4,1.1895,12,237.0,15.0,202.78,8.53,32.0
3.5972,90.0,16.49,0,0.436,6.261,22.2,1.1448,24,397.0,21.4,56.08,2.11,17.8
2.1421,45.0,26.3,0,0.466,6.093,7.3,5.2891,9,187.0,13.8,168.78,5.04,25.3
1.2493,60.0,7.37,0,0.857,6.552,15.2,2.7073,1,217.0,20.1,135.85,21.91,10.1
1.4346,45.0,10.27,0,0.496,6.307,57.5,1.3322,19,637.0,17.4,73.06,34.05,7.8
4.0188,0.0,10.82,0,0.86,5.344,77.2,6.2347,11,667.0,19.7,3.03,12.14,5.0
5.025,90.0,16.97,0,0.644,6.448,94.2,11.5037,23,697.0,15.5,185.53,13.61,5.0
5.6455,30.0,10.2,0,0.451,5.337,4.4,4.692,22,677.0,17.4,272.24,5.92,12.0
5.6118,20.0,15.01,0,0.433,6.542,53.7,8.4025,23,607.0,20.7,90.06,15.81,5.0
0.3443,0.0,21.76,0,0.487,5.722,48.6,8.3046,24,467.0,17.0,52.59,3.08,11.5
2.4554,85.0,19.69,0,0.835,6.306,66.6,3.8919,22,387.0,16.0,352.1,34.98,5.0
0.2134,35.0,12.64,0,0.586,6.553,57.2,8.2847,19,437.0,17.6,109.39,26.12,5.0
2.8709,65.0,24.01,0,0.577,7.998,69.6,3.4657,18,317.0,19.3,89.0,37.63,7.9
2.0972,60.0,15.68,0,0.537,6.8,66.8,2.4721,12,267.0,16.8,340.23,33.72,17.9
7.8718,20.0,15.19,0,0.456,7.235,14.3,8.8452,23,647.0,21.4,324.37,18.87,5.0
1.5559,25.0,1.43,0,0.622,7.59,80.6,2.3778,1,297.0,15.4,178.13,20.56,19.4
0.4482,70.0,27.34,0,0.448,6.622,14.9,12.096,19,597.0,17.1,194.34,8.64,6.1
0.5555,35.0,3.84,0,0.791,6.48,70.7,3.148,20,687.0,19.7,86.67,18.47,5.0
5.1603,35.0,6.79,0,0.565,5.533,43.3,7.6656,17,687.0,19.1,31.37,34.46,5.0
3.4665,40.0,1.91,0,0.567,6.198,52.8,5.6551,5,237.0,20.7,227.73,3.57,16.6
0.3838,55.0,17.91,0,0.615,5.774,90.6,2.5203,3,377.0,22.0,39.32,33.03,5.0
0.3163,20.0,6.61,0,0.601,5.999,89.3,1.4363,2,417.0,16.6,178.49,14.09,16.2
4.346,70.0,5.4,0,0.869,7.589,82.3,7.9801,3,447.0,13.6,373.3,34.33,8.9
0.272,25.0,2.91,0,0.65,6.36,52.4,10.0043,8,557.0,12.9,378.2,35.83,5.0
6.2107,70.0,3.31,0,0.428,5.667,74.4,10.3922,16,257.0,19.4,95.23,26.04,5.0
4.41,95.0,16.4,0,0.68,7.242,52.7,6.4398,6,187.0,20.8,247.83,25.81,8.7
0.3055,60.0,19.22,0,0.459,6.949,87.3,9.682,13,667.0,14.7,188.33,18.14,5.2
0.3192,80.0,11.31,0,0.4,6.985,42.0,8.5313,23,667.0,14.1,347.6,32.01,5.0
15.5357,95.0,13.55,0,0.857,4.876,97.1,9.0968,22,417.0,13.2,107.96,36.58,5.0
1.6878,95.0,19.16,0,0.761,7.644,93.4,6.5486,22,647.0,20.3,1.79,29.82,5.0
1.667,80.0,0.97,0,0.861,5.889,74.9,8.0975,16,247.0,15.5,64.79,24.27,5.0
6.0321,55.0,9.29,0,0.617,6.825,30.0,9.9908,16,367.0,16.4,138.93,23.72,5.0
10.5918,50.0,26.97,0,0.644,8.047,15.7,5.5067,3,397.0,17.3,125.53,32.51,8.9
15.3676,20.0,16.28,0,0.467,7.789,85.9,9.9958,13,527.0,20.5,314.16,21.34,8.5
5.0396,75.0,7.41,0,0.505,5.596,19.0,7.6422,14,477.0,18.7,270.22,30.86,5.0
1.6993,45.0,14.69,0,0.793,5.269,85.8,2.9549,8,467.0,18.4,119.12,20.17,5.0
0.3139,55.0,9.82,0,0.558,7.281,50.6,1.4015,12,397.0,14.3,181.85,3.99,30.1
5.4045,65.0,14.98,0,0.787,6.379,42.4,5.1203,23,287.0,17.4,38.22,15.64,7.5
2.9425,80.0,3.92,0,0.73,5.929,90.6,7.1437,23,377.0,19.3,356.51,17.84,7.1
1.9873,30.0,4.11,0,0.471,6.715,61.5,10.368,22,467.0,21.7,371.29,6.86,7.9
8.5257,75.0,4.4,1,0.632,6.166,58.9,2.5323,21,687.0,14.5,388.89,5.44,29.6
0.4244,20.0,26.06,0,0.714,6.771,57.2,9.9323,8,587.0,12.7,344.77,21.14,8.2
2.4426,35.0,20.43,0,0.499,6.327,38.9,10.6231,21,597.0,13.3,69.31,4.82,9.8
0.0411,65.0,4.92,0,0.789,6.786,79.2,2.7876,9,517.0,16.1,18.64,12.71,15.9
2.2765,40.0,5.62,0,0.65,5.654,27.4,10.4975,1,187.0,20.3,230.18,28.71,5.0
0.2086,60.0,20.38,0,0.465,7.277,94.1,12.036,6,487.0,12.7,362.24,36.68,5.0
0.4554,30.0,4.75,0,0.668,6.768,89.7,9.1252,23,477.0,16.9,70.65,27.75,5.0
0.4501,55.0,6.88,0,0.871,6.732,35.7,9.7625,19,657.0,15.7,3.11,37.7,5.0
3.7712,40.0,26.7,0,0.458,5.498,73.7,12.0686,23,357.0,13.1,319.76,27.04,5.0
4.9342,20.0,7.44,0,0.782,7.47,58.6,7.7903,11,347.0,16.8,30.78,12.38,10.7
3.152,95.0,18.5,0,0.486,6.27,35.7,4.5168,11,557.0,15.0,164.39,26.09,15.1
11.789,35.0,27.12,0,0.765,6.79,98.9,10.3428,23,317.0,15.9,269.55,27.18,5.0
1.6913,40.0,10.68,0,0.742,6.054,5.4,7.8893,13,407.0,19.2,94.23,15.2,5.0
1.2113,70.0,0.98,0,0.531,6.463,27.4,7.5231,11,427.0,17.5,33.62,2.37,14.8
7.3062,60.0,7.14,0,0.543,6.488,53.4,3.92,18,327.0,13.8,305.7,27.21,12.2
0.9111,40.0,23.1,0,0.77,4.306,53.6,9.4497,23,637.0,21.6,250.23,2.52,5.0
11.8903,50.0,24.02,0,0.609,6.688,60.1,2.0283,15,397.0,18.6,392.34,24.6,15.4
0.044,20.0,21.4,0,0.74,7.656,75.9,11.2972,1,207.0,19.8,136.87,7.66,6.5
12.6091,70.0,3.58,0,0.457,6.658,63.4,4.7141,21,367.0,13.3,24.81,22.23,18.8
0.1588,75.0,22.14,1,0.799,5.61,61.2,2.5355,7,617.0,13.0,291.55,19.99,17.4
7.9838,45.0,25.49,0,0.73,6.735,8.1,5.996,23,517.0,12.8,207.23,2.22,20.7
2.7005,60.0,16.84,0,0.826,7.022,39.5,1.5972,13,527.0,14.4,84.87,14.88,15.4
17.8446,75.0,26.09,1,0.449,6.639,25.4,8.6609,12,677.0,16.5,310.34,23.51,8.5
0.276,95.0,22.99,0,0.673,6.228,28.7,11.0598,18,187.0,21.4,81.13,32.48,5.0
2.9056,80.0,18.64,0,0.676,6.11,56.7,10.3399,24,697.0,16.9,103.69,33.93,5.0
12.5409,20.0,16.2,1,0.557,6.108,22.3,2.5311,19,387.0,15.3,37.01,19.26,15.0
2.6656,65.0,9.98,0,0.608,6.768,31.4,2.519,15,467.0,17.9,158.73,28.13,9.9
3.5735,0.0,4.83,0,0.403,5.295,25.9,10.0778,8,237.0,13.7,166.46,13.2,10.2
4.2836,30.0,16.95,0,0.747,6.02,95.0,11.2968,19,547.0,18.3,204.38,14.13,5.0
2.1821,65.0,9.15,0,0.652,7.397,94.6,6.1974,10,187.0,17.9,281.48,8.78,18.2
3.5556,50.0,24.07,0,0.413,7.424,62.1,6.6187,7,687.0,20.0,359.66,22.09,14.8
3.1602,65.0,27.52,0,0.716,5.245,92.7,4.6309,18,187.0,21.9,54.94,13.13,6.0
8.3312,30.0,20.97,0,0.612,5.488,79.2,10.9669,16,447.0,15.0,21.87,4.79,5.0
0.1674,95.0,2.96,0,0.402,6.091,60.2,8.2239,20,387.0,17.4,7.67,26.55,5.8
1.1874,45.0,8.35,0,0.856,6.905,3.5,4.3008,6,707.0,21.1,57.28,27.38,5.0
10.8144,50.0,3.47,0,0.846,5.001,77.9,4.4166,9,337.0,20.0,261.25,14.78,5.0
7.9548,25.0,18.19,0,0.634,6.242,71.1,10.9332,21,617.0,17.2,288.82,4.51,5.0
2.1894,20.0,21.31,0,0.431,5.948,62.6,1.28,13,577.0,21.5,312.23,17.18,12.1
3.4846,85.0,25.68,0,0.752,7.208,76.7,4.68,21,437.0,13.1,96.97,17.76,13.1
1.1695,35.0,12.42,0,0.624,5.106,52.7,7.2279,8,337.0,21.4,121.63,25.96,5.0
0.7503,0.0,25.02,1,0.532,6.345,71.3,2.7604,16,457.0,13.1,191.92,13.16,19.5
2.243,30.0,24.38,0,0.624,6.004,93.7,2.1431,13,187.0,17.7,25.38,26.47,11.4
1.5694,85.0,9.13,0,0.639,7.309,39.4,10.098,13,537.0,21.0,242.69,33.31,5.0
3.1545,25.0,24.13,0,0.658,6.698,71.7,10.9684,17,277.0,15.1,390.45,10.34,11.3
0.2913,65.0,10.72,0,0.599,5.87,49.1,10.1897,23,607.0,17.0,143.41,37.21,5.0
13.1939,95.0,8.57,0,0.679,6.877,68.4,11.0167,20,347.0,15.6,298.88,15.73,7.1
15.4219,75.0,18.15,0,0.832,6.008,77.0,7.2142,5,407.0,21.6,198.62,11.42,5.0
4.3123,65.0,9.43,0,0.561,6.98,7.3,10.0648,22,247.0,20.3,51.01,17.01,5.0
2.7651,20.0,17.64,0,0.738,6.114,65.7,5.3545,21,617.0,19.3,231.22,5.15,6.3
1.3334,55.0,17.09,0,0.82,7.018,24.9,8.4589,17,707.0,18.1,119.24,6.29,5.0
6.0513,20.0,15.83,0,0.607,6.585,68.0,12.0072,9,247.0,20.3,13.96,16.75,5.0
4.1556,55.0,10.85,0,0.601,8.562,48.4,3.613,2,617.0,16.3,252.12,29.36,20.3
0.6389,55.0,15.42,0,0.678,6.243,78.0,5.4189,18,327.0,16.8,340.96,34.36,5.0
